"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.10.2021","144,84","143,77","144,90","143,51","67,94M","0,75%"
"14.10.2021","143,76","142,11","143,88","141,51","69,91M","2,02%"
"13.10.2021","140,91","141,24","141,40","139,20","78,76M","-0,42%"
"12.10.2021","141,51","143,23","143,25","141,04","73,04M","-0,91%"
"11.10.2021","142,81","142,27","144,81","141,81","64,45M","-0,06%"
"08.10.2021","142,90","144,03","144,18","142,56","58,77M","-0,27%"
"07.10.2021","143,29","143,06","144,22","142,72","61,73M","0,91%"
"06.10.2021","142,00","139,47","142,15","138,37","83,22M","0,63%"
"05.10.2021","141,11","139,49","142,24","139,36","80,86M","1,42%"
"04.10.2021","139,14","141,76","142,21","138,27","98,32M","-2,46%"
"01.10.2021","142,65","141,90","142,92","139,11","94,64M","0,81%"
"30.09.2021","141,50","143,66","144,38","141,28","89,06M","-0,93%"
"29.09.2021","142,83","142,47","144,45","142,03","74,60M","0,65%"
"28.09.2021","141,91","143,25","144,75","141,69","108,97M","-2,38%"
"27.09.2021","145,37","145,47","145,96","143,82","74,15M","-1,05%"
"24.09.2021","146,92","145,66","147,47","145,56","53,48M","0,06%"
"23.09.2021","146,83","146,65","147,08","145,64","64,84M","0,67%"
"22.09.2021","145,85","144,45","146,43","143,70","76,40M","1,69%"
"21.09.2021","143,43","143,93","144,60","142,78","75,83M","0,34%"
"20.09.2021","142,94","143,80","144,84","141,27","123,48M","-2,14%"
"17.09.2021","146,06","148,82","148,82","145,76","129,87M","-1,83%"
"16.09.2021","148,79","148,44","148,97","147,22","68,03M","-0,16%"
"15.09.2021","149,03","148,56","149,44","146,37","83,28M","0,61%"
"14.09.2021","148,12","150,35","151,07","146,91","109,30M","-0,96%"
"13.09.2021","149,55","150,63","151,42","148,75","102,40M","0,39%"
"10.09.2021","148,97","155,00","155,48","148,70","140,89M","-3,31%"
"09.09.2021","154,07","155,49","156,11","153,95","57,31M","-0,67%"
"08.09.2021","155,11","156,98","157,04","153,97","74,42M","-1,01%"
"07.09.2021","156,69","154,97","157,26","154,39","82,28M","1,55%"
"03.09.2021","154,30","153,76","154,63","153,09","57,87M","0,42%"
"02.09.2021","153,65","153,87","154,72","152,40","71,17M","0,75%"
"01.09.2021","152,51","152,83","154,98","152,34","80,31M","0,45%"
"31.08.2021","151,83","152,66","152,80","151,29","86,45M","-0,84%"
"30.08.2021","153,12","149,00","153,49","148,61","90,96M","3,04%"
"27.08.2021","148,60","147,48","148,75","146,83","55,80M","0,72%"
"26.08.2021","147,54","148,35","149,12","147,51","48,60M","-0,55%"
"25.08.2021","148,36","149,81","150,32","147,80","58,99M","-0,84%"
"24.08.2021","149,62","149,45","150,86","149,15","48,61M","-0,06%"
"23.08.2021","149,71","148,31","150,19","147,89","60,13M","1,03%"
"20.08.2021","148,19","147,44","148,50","146,78","60,55M","1,02%"
"19.08.2021","146,70","145,03","148,00","144,50","86,96M","0,23%"
"18.08.2021","146,36","149,80","150,72","146,15","86,33M","-2,55%"
"17.08.2021","150,19","150,23","151,68","149,09","92,23M","-0,62%"
"16.08.2021","151,12","148,53","151,19","146,47","103,56M","1,35%"
"13.08.2021","149,10","148,97","149,44","148,27","59,38M","0,14%"
"12.08.2021","148,89","146,19","149,05","145,84","73,78M","2,08%"
"11.08.2021","145,86","146,05","146,72","145,53","48,49M","0,18%"
"10.08.2021","145,60","146,44","147,71","145,30","69,02M","-0,34%"
"09.08.2021","146,09","146,20","146,70","145,52","48,91M","-0,03%"
"06.08.2021","146,14","146,35","147,11","145,63","54,13M","-0,63%"
"05.08.2021","147,06","146,98","147,84","146,17","46,40M","0,07%"
"04.08.2021","146,95","147,27","147,79","146,28","56,37M","-0,28%"
"03.08.2021","147,36","145,81","148,04","145,18","64,79M","1,26%"
"02.08.2021","145,52","146,36","146,95","145,25","62,88M","-0,23%"
"30.07.2021","145,86","144,38","146,33","144,11","70,44M","0,15%"
"29.07.2021","145,64","144,69","146,55","144,58","56,70M","0,46%"
"28.07.2021","144,98","144,81","146,97","142,54","118,93M","-1,22%"
"27.07.2021","146,77","149,12","149,21","145,55","104,82M","-1,49%"
"26.07.2021","148,99","148,27","149,83","147,70","72,43M","0,29%"
"23.07.2021","148,56","147,55","148,72","146,92","71,45M","1,20%"
"22.07.2021","146,80","145,94","148,19","145,81","77,34M","0,96%"
"21.07.2021","145,40","145,53","146,13","144,63","74,99M","-0,51%"
